ID;Prov;pop2020
1;Aceh;5459.9
2;Bali;4380.8
3;Bangka Belitung;1517.6
4;Banten;13160.5
5;Bengkulu;2019.8
6;Gorontalo;1219.6
7;West Papua;981.8
8;Jakarta;10645
9;Jambi;3677.9
10;West Java;49935.7
11;Central Java;34940.1
12;East Java;39886.3
13;West Kalimantan;5134.8
14;South Kalimantan;4304
15;Central Kalimantan;2769.2
16;East Kalimantan;3793.7
17;North Kalimantan;768
18;Riau Islands;2242.2
19;Lampung;8521.2
20;North Maluku;1278.8
21;Maluku;1831.9
22;West Nusa Tenggara;5125.6
23;East Nusa Tenggara;5541.4
24;Papua;3435.4
25;Riau;7128.3
26;West Sulawesi;1405
27;South Sulawesi;8928
28;Central Sulawesi;3097
29;Southeast Sulawesi;2755.6
30;North Sulawesi;2528.8
31;West Sumatera;5498.8
32;South Sumatera;8567.9
33;North Sumatera;14703.5
34;Yogyakarta;3882.3
