Prov,_ID,q1_15,q2_15,q3_15,q4_15,q1_16,q2_16,q3_16,q4_16,q1_17,q2_17,q3_17,q4_17,q1_18,q2_18,q3_18,q4_18,q1_19,q2_19,q3_19,q4_19,q1_20,q2_20
Aceh,1,27630000,28080000,28830000,27930000,28260000,27120000,28970000,28790000,29070000,28850000,29630000,29190000,29820000,30350000,31090000,30950000,30810000,31410000,32120000,32370000,32630000,32217429
Sumut,33,108278490,108540020,112013550,112123800,113329080,114503150,117932960,118010270,118459640,120387280,124109930,124574380,124057850,126734600,130790670,131182510,130644380,133391430,137473260,138017530,136722684.2,130232504
Sumbar,31,34044948.66,34760506.87,35840941.1,36073077.56,35946608.32,36793664.85,37565656.21,37828314.51,37746163.69,38764220.28,39592205.13,39873902.42,39525717.15,40737761.84,41666712.82,42065076.54,41451401.18,42801515.33,43829626.87,44237957.6,43077225.61,40698281
Riau,25,107706392,109583419,114742805,116959347,110656732,112597290,116182538,119332781,113739198,115382061,119539360,122322892,117017428,118119767,123104795,123916395,120394790,121463551,126471397,127516169,123086125,117555194
Jambi,9,30676870,31217950,31509670,31632920,31779840,32345920,32757230,33618140,33109120,33721560,34301230,35369800,34640010,35338860,35902430,37087000,36263420,37055640,37525670,38419880,36862870,36419108
Sumsel,32,61262900,63364800,65843500,63573700,64282900,66584200,69104700,66885600,67630700,70104200,72954700,70881500,71595000,74357100,77436900,75181400,75666100,78675300,81817300,79456700,79440000,77606577
Bengkulu,5,9322738.32,9395660.23,9587040.43,9760566.74,9790127.55,9904797.4,10082312.03,10299306.85,10298712.36,10426821.34,10575462.57,10772519.32,10823479.13,10960140.26,11102777.48,11284764.32,11373418.44,11508228.11,11655198.11,11825482.5,11808250,11453392
Lampung,19,48608070,50646516,52331808,47950522,51069492.01,53295616.9,55078091.37,50350528.01,53686077.48,55977018.02,57945001.69,53017999.57,56419297.37,58969470.24,60951109.96,55867800.36,59359020.22,62279332.99,64097236.94,58701204.33,60384575.54,60056210
Babel,3,14755130,15136654,15449550,15645990,15552654,16084414,16477057,16934106,17052217,17502587,17515903,17794502,17781286,18471222,18633680,18234818,12986597,13521362,19327013,19339133,13161432,12847635
Kepri,18,39665452.1,40500652.9,41100510.5,41586423.5,40441841.15,40918042.01,42073992.38,42647800.16,42261978.76,42779962.75,43651351.23,44991011.26,44285333.1,44766783.34,45798420.43,47333191.71,45199627.84,44773.54,45787.11,47333190,45199630,41785612
DKI Jakarta,8,350989120,359614220,367591620,374087580,372301330,381854220,390434580,394786480,396297600,404668740,415001790,418306530,420285490,429342560,442386140,444939110,446253900,453703010,468929090,471462000,468814200,415457122
Jabar,10,292203030.3,301412497,307570707.7,306046106.5,307317408.8,319560225.3,325837442.2,322812567.8,323560796.8,336648633.7,342764755.9,339979189.8,343000000,355710000,361880000,359950000,361510000,375410000,380250000,374770000,371250000,352844686
